id,human,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B
A.dev.0000,0.061000,0.303000,0.273000,0.061000
A.dev.0005,0.154000,0.077000,0.000000,0.077000
A.dev.0008,0.227000,0.500000,0.227000,0.091000
A.dev.0009,0.071000,0.250000,0.321000,0.214000
A.dev.0014,0.222000,0.056000,0.167000,0.278000
A.dev.0028,0.077000,0.154000,0.154000,0.154000
A.dev.0030,0.400000,0.200000,0.000000,0.000000
A.dev.0038,0.056000,0.222000,0.056000,0.167000
A.dev.0040,0.231000,0.231000,0.231000,0.231000
A.dev.0043,0.375000,0.500000,0.500000,0.125000
A.dev.0047,0.250000,0.650000,0.400000,0.400000
A.dev.0051,0.042000,0.208000,0.042000,0.125000
A.dev.0062,0.133000,0.533000,0.400000,0.067000
A.dev.0065,0.107000,0.000000,0.071000,0.143000
A.dev.0067,0.333000,0.500000,0.500000,0.500000
A.dev.0080,0.158000,0.316000,0.263000,0.263000
A.dev.0082,0.133000,0.100000,0.133000,0.067000
A.dev.0083,0.071000,0.500000,0.143000,0.143000
A.dev.0089,0.273000,0.545000,0.727000,0.182000
A.dev.0091,0.345000,0.483000,0.517000,0.379000
A.dev.0095,0.200000,0.333000,0.200000,0.200000
A.dev.0098,0.048000,0.238000,0.238000,0.286000
A.dev.0099,0.071000,0.071000,0.286000,0.143000
A.dev.0100,0.222000,0.185000,0.074000,0.074000
A.dev.0101,0.111000,0.389000,0.389000,0.111000
A.dev.0112,0.308000,0.231000,0.231000,0.000000
A.dev.0114,0.167000,0.333000,0.389000,0.056000
A.dev.0120,0.067000,0.333000,0.067000,0.033000
A.dev.0126,0.156000,0.188000,0.219000,0.219000
A.dev.0134,0.125000,0.250000,0.188000,0.125000
A.dev.0136,0.250000,0.375000,0.250000,0.250000
A.dev.0138,0.161000,0.065000,0.194000,0.194000
A.dev.0142,0.048000,0.095000,0.190000,0.238000
A.dev.0149,0.250000,0.167000,0.250000,0.167000
A.dev.0150,0.167000,0.250000,0.333000,0.083000
A.dev.0161,0.474000,0.474000,0.684000,0.368000
A.dev.0170,0.211000,0.211000,0.263000,0.211000
A.dev.0172,0.500000,0.800000,0.500000,0.100000
A.dev.0175,0.030000,0.455000,0.273000,0.152000
A.dev.0179,0.273000,0.636000,0.273000,0.273000
A.dev.0181,0.222000,0.481000,0.630000,0.370000
A.dev.0187,0.091000,0.500000,0.455000,0.455000
A.dev.0188,0.091000,0.182000,0.182000,0.182000
A.dev.0191,0.750000,0.125000,0.125000,0.125000
A.dev.0211,0.067000,0.133000,0.067000,0.133000
A.dev.0212,0.059000,0.235000,0.235000,0.353000
A.dev.0219,0.375000,0.250000,0.750000,0.625000
A.dev.0233,0.059000,0.294000,0.000000,0.059000
A.dev.0238,0.053000,0.263000,0.211000,0.211000
A.dev.0240,0.257000,0.029000,0.400000,0.229000
A.dev.0242,0.147000,0.059000,0.088000,0.118000
A.dev.0244,0.282000,0.026000,0.615000,0.436000
A.dev.0245,0.188000,0.188000,0.125000,0.188000
A.dev.0246,0.200000,0.200000,0.100000,0.100000
A.dev.0249,0.143000,0.143000,0.000000,0.143000
A.dev.0257,0.167000,0.333000,0.167000,0.167000
A.dev.0266,0.067000,0.000000,0.067000,0.133000
A.dev.0289,0.185000,0.111000,0.444000,0.185000
A.dev.0298,0.100000,0.200000,0.300000,0.200000
A.dev.0300,0.125000,0.250000,0.312000,0.094000
A.dev.0312,0.312000,0.250000,0.312000,0.312000
A.dev.0314,0.462000,0.154000,0.385000,0.615000
A.dev.0315,0.571000,0.429000,0.429000,0.429000
A.dev.0321,0.429000,0.500000,0.286000,0.357000
A.dev.0327,0.167000,0.333000,0.333000,0.333000
A.dev.0328,0.312000,0.438000,0.562000,0.312000
A.dev.0329,0.059000,0.529000,0.412000,0.235000
A.dev.0340,0.050000,0.050000,0.050000,0.100000
A.dev.0343,0.053000,0.158000,0.053000,0.105000
A.dev.0348,0.045000,0.136000,0.136000,0.136000
A.dev.0349,0.235000,0.059000,0.294000,0.118000
A.dev.0350,0.125000,0.125000,0.125000,0.000000
A.dev.0354,0.211000,0.158000,0.105000,0.158000
A.dev.0363,0.111000,0.667000,0.111000,0.111000
A.dev.0364,0.087000,0.478000,0.174000,0.087000
A.dev.0367,0.333000,0.500000,0.000000,0.333000
A.dev.0372,0.263000,0.605000,0.553000,0.342000
A.dev.0374,0.188000,0.250000,0.250000,0.250000
A.dev.0375,0.257000,0.086000,0.114000,0.143000
A.dev.0380,0.080000,0.160000,0.160000,0.080000
A.dev.0390,0.250000,0.250000,0.417000,0.083000
A.dev.0407,0.167000,0.333000,0.333000,0.333000
A.dev.0408,0.154000,0.231000,0.154000,0.077000
A.dev.0409,0.100000,1.000000,0.600000,0.100000
A.dev.0412,0.087000,0.217000,0.130000,0.087000
A.dev.0413,0.130000,0.130000,0.174000,0.087000
A.dev.0415,0.286000,0.214000,0.286000,0.214000
A.dev.0423,0.357000,0.214000,0.214000,0.214000
A.dev.0426,0.417000,0.333000,0.417000,0.333000
A.dev.0449,0.111000,0.333000,0.444000,0.111000
A.dev.0456,0.250000,0.500000,1.375000,0.375000
A.dev.0461,0.231000,0.462000,0.231000,0.385000
A.dev.0472,0.325000,0.475000,1.025000,0.550000
A.dev.0478,0.455000,0.273000,0.364000,0.364000
A.dev.0482,0.300000,0.000000,0.000000,0.000000
A.dev.0483,0.091000,0.455000,0.152000,0.242000
A.dev.0499,0.062000,0.062000,0.000000,0.062000
A.dev.0500,0.125000,0.688000,0.562000,0.188000
A.dev.0507,0.387000,0.581000,0.452000,0.323000
A.dev.0513,0.038000,0.077000,0.731000,0.077000
